"id"	"repeater"	"n_subject"	"group"	"nationality"	"n_test"	"note"	"y"
157	"No"	5	"Morning"	"Spanish"	7	7.9	12
158	"No"	5	"Afternoon"	"Spanish"	11	7.1	18
159	"No"	3	"Morning"	"Spanish"	1	0	0
160	"No"	5	"Morning"	"Spanish"	12	9.1	41
161	"No"	3	"Morning"	"Spanish"	11	5.5	13
162	"No"	2	"Afternoon"	"Spanish"	11	6.6	43
163	"No"	4	"Morning"	"Spanish"	2	4.3	6
164	"No"	5	"Morning"	"Spanish"	12	5.7	23
165	"No"	4	"Afternoon"	"Foreign"	5	5.3	16
166	"No"	5	"Morning"	"Spanish"	9	5	41
167	"Yes"	3	"Afternoon"	"Spanish"	3	2.9	0
168	"No"	5	"Morning"	"Spanish"	7	6	23
169	"No"	5	"Morning"	"Spanish"	12	7.1	41
170	"No"	5	"Morning"	"Spanish"	12	6.5	9
171	"No"	5	"Afternoon"	"Spanish"	11	7.1	25
172	"No"	3	"Afternoon"	"Spanish"	12	7.6	35
173	"No"	5	"Morning"	"Spanish"	12	8.6	43
174	"No"	4	"Afternoon"	"Spanish"	8	5.4	8
175	"No"	3	"Morning"	"Spanish"	11	5	33
176	"No"	5	"Morning"	"Spanish"	5	4.2	6
177	"No"	4	"Afternoon"	"Spanish"	11	6.9	32
178	"No"	5	"Morning"	"Spanish"	9	6.3	25
179	"No"	5	"Morning"	"Spanish"	12	6.1	7
180	"No"	5	"Morning"	"Spanish"	12	7.2	39
181	"No"	5	"Morning"	"Spanish"	8	6.3	8
182	"No"	5	"Morning"	"Foreign"	12	6.4	103
183	"No"	5	"Morning"	"Spanish"	12	8.2	51
184	"No"	3	"Afternoon"	"Spanish"	10	6.7	44
185	"No"	5	"Morning"	"Spanish"	12	6.2	3
186	"No"	5	"Morning"	"Spanish"	12	6.2	56
187	"No"	4	"Afternoon"	"Spanish"	5	5	2
188	"No"	5	"Morning"	"Spanish"	12	9.1	47
189	"No"	5	"Morning"	"Spanish"	12	5.2	46
190	"No"	4	"Morning"	"Spanish"	8	5.4	14
191	"No"	5	"Afternoon"	"Spanish"	1	0.8	24
192	"No"	3	"Afternoon"	"Foreign"	12	7.8	126
193	"No"	5	"Afternoon"	"Spanish"	12	8.4	52
194	"No"	5	"Morning"	"Spanish"	12	9.1	51
195	"No"	5	"Morning"	"Spanish"	5	7	19
196	"No"	5	"Morning"	"Spanish"	12	9	47
197	"No"	4	"Morning"	"Spanish"	12	5.3	42
198	"No"	5	"Morning"	"Foreign"	12	5.9	31
199	"No"	3	"Afternoon"	"Spanish"	11	7.4	7
200	"No"	5	"Morning"	"Spanish"	12	8.2	42
201	"No"	4	"Morning"	"Spanish"	12	8	39
202	"No"	5	"Morning"	"Spanish"	12	8.1	21
203	"No"	5	"Morning"	"Spanish"	12	7.5	43
204	"No"	5	"Morning"	"Spanish"	12	3.9	25
205	"No"	5	"Morning"	"Spanish"	12	6.8	31
206	"No"	5	"Morning"	"Spanish"	12	8.6	37
207	"No"	5	"Morning"	"Spanish"	12	5.3	43
208	"No"	5	"Morning"	"Spanish"	12	8.5	41
209	"No"	5	"Morning"	"Spanish"	12	6.1	15
210	"No"	5	"Morning"	"Spanish"	12	6.3	52
211	"No"	5	"Morning"	"Spanish"	12	6.4	12
212	"No"	6	"Morning"	"Spanish"	12	5	15
213	"No"	3	"Afternoon"	"Spanish"	9	7.1	23
214	"No"	5	"Morning"	"Spanish"	12	6.9	5
215	"No"	5	"Morning"	"Foreign"	12	7.2	34
216	"Yes"	3	"Morning"	"Spanish"	0	4.1	36
217	"No"	5	"Afternoon"	"Foreign"	11	7.6	41
218	"No"	5	"Afternoon"	"Spanish"	8	4.4	7
219	"No"	5	"Morning"	"Spanish"	12	9.4	43
220	"No"	5	"Morning"	"Spanish"	12	8.6	40
221	"No"	6	"Morning"	"Spanish"	10	7.3	4
222	"No"	4	"Afternoon"	"Spanish"	12	5.4	33
223	"No"	5	"Morning"	"Spanish"	10	6.6	17
224	"Yes"	2	"Morning"	"Spanish"	5	3.3	28
225	"No"	5	"Morning"	"Spanish"	12	9	41
226	"No"	5	"Morning"	"Spanish"	12	8.2	40
227	"No"	4	"Afternoon"	"Foreign"	11	8	58
228	"No"	5	"Afternoon"	"Foreign"	12	7.1	66
