Pais;Region;Continent;LifeExpectancy;Population;Surface;AgrLand;Forest;PIBpc;AgrGDP;IndustryGDP;AlcohConsump;BadTeeth;SBPMale;BMImen;BMIFemale;InternetUsers;Mobiles;DependRatio;ChildrenWomen;Births;CO2pc
Tonga;EAST ASIA AND THE PACIFIC;OC;71,5;100926;750;41,67;5,56;5135;22,03;19,18;3,78;3,1;130,19;30,55;33,58;4,91;29,60;76,66;4,14;28,17;1,71
Trinidad and Tobago;LATIN AMERICA AND THE CARIBBEAN;AM;68,73;1315386;5130;10,53;44,05;15352;0,49;60,33;6,28;0,6;129,91;26,02;27,91;28,98;70,25;39,34;1,62;14,83;23,53
Tunisia;ARAB STATES;AF;73,48;9912114;163610;63,23;6,80;6461;10,13;29,19;1,29;1,3;128,76;24,78;27,60;9,54;56,64;47,77;2,03;16,09;2,30
Turkey;CENTRAL AND EASTERN EUROPE;EU;72,1;68143186;783560;53,56;13,22;7786;10,80;28,51;2,87;2,7;124,56;26,29;28,06;15,46;64,00;51,86;2,18;18,43;3,48
Turkmenistan;CENTRAL ASIA;AS;64,43;4747839;488100;69,40;8,78;4247;18,81;37,61;4,63;2,6;132,31;24,84;24,36;1,00;2,21;58,45;2,62;22,01;8,79
Uganda;SUB-SAHARAN AFRICA;AF;50,18;28431204;241550;66,37;18,40;991;26,70;25,04;11,93;0,9;134,25;22,19;22,21;1,74;4,63;108,10;6,58;46,35;0,08
Ukraine;CENTRAL AND EASTERN EUROPE;EU;67,31;46923927;603550;71,29;16,53;5583;10,40;32,35;15,6;4,4;136,18;25,05;25,95;3,74;63,72;44,38;1,26;9,88;7,22
United Arab Emirates;ARAB STATES;AS;75,46;4069349;83600;6,67;3,73;33487;1,40;55,64;0,54;1,6;128,09;27,62;29,26;40,00;111,42;26,09;2,09;14,03;28,41
United Kingdom;NORTH AMERICA AND WESTERN EUROPE;EU;79,3;60202727;243610;70,09;11,81;31580;0,67;23,47;13,37;0,7;132,55;27,10;26,68;69,97;108,71;51,66;1,73;12,2;9,01
United States;NORTH AMERICA AND WESTERN EUROPE;AM;77,4;296820296;9632030;44,26;33,09;41674;1,21;22,14;9,44;1,19;123,57;28,20;28,07;68,27;68,93;49,73;2,06;14,19;19,63
Uruguay;LATIN AMERICA AND THE CARIBBEAN;AM;75,84;3322529;176220;84,22;8,60;9266;10,37;27,13;8,14;2,5;131,86;26,13;26,19;20,19;34,94;59,53;2,16;15,09;1,74
Uzbekistan;CENTRAL ASIA;AS;67,25;25947414;447400;62,86;7,95;1975;27,97;23,16;3,54;1,4;127,58;25,03;25,11;3,32;2,75;60,15;2,48;20,36;4,22
Vanuatu;EAST ASIA AND THE PACIFIC;OC;69,22;211170;12190;15,01;36,10;3477;21,95;7,89;0,93;1,2;133,89;26,39;27,83;5,08;6,01;76,57;4,15;30,44;0,26
Venezuela;LATIN AMERICA AND THE CARIBBEAN;AM;73,21;26664122;912050;24,20;54,09;9876;4,02;57,80;8,23;2,1;131,75;27,06;27,69;12,59;47,02;56,99;2,63;21,44;5,98
Vietnam;EAST ASIA AND THE PACIFIC;AS;73,82;83161145;331210;32,42;39,73;2142;20,97;41,02;3,77;1,9;125,95;20,57;20,77;12,86;11,64;54,67;1,90;17,31;1,25
Yemen, Rep.;ARAB STATES;AS;62,68;20648643;527970;44,55;1,04;2276;10,55;48,99;0,2;3,1;128,41;24,26;25,85;1,05;11,03;92,45;5,76;37,1;0,97
Zambia;SUB-SAHARAN AFRICA;AF;44,45;11462365;752610;30,62;57,11;1175;23,32;31,60;3,85;2,3;132,54;20,43;22,74;2,85;8,28;96,09;6,14;43,15;0,20
Zimbabwe;SUB-SAHARAN AFRICA;AF;43,97;12570686;390760;41,62;45,34;538;18,58;28,68;5,08;1,3;131,12;21,89;24,64;8,02;5,15;81,07;3,61;30,03;0,86
