id;name;nationality;sex;height;weight;sport;gold;silver;bronze
704391947;Aislin Jones;AUS;female;1.57;51;shooting;0;0;0
273177958;Aisuluu Tynybekova;KGZ;female;1.7;58;wrestling;0;0;0
191963338;Aitor Martinez Rodriguez;ESP;male;1.83;78;aquatics;0;0;0
678408880;Aivi Luik;AUS;female;1.63;58;football;0;0;0
234338084;Ajee Wilson;USA;female;1.73;61;athletics;0;0;0
374861025;Ajla del Ponte;SUI;female;1.68;56;athletics;0;0;0
504635619;Ajna Kesely;HUN;female;1.65;54;aquatics;0;0;0
680600926;Akalani Baravilala;USA;female;1.68;74;rugby sevens;0;0;0
213555250;Akane Kuroki;JPN;female;1.65;50;equestrian;0;0;0
58865414;Akane Shibata;JPN;female;1.53;50;hockey;0;0;0
677730191;Akane Yamaguchi;JPN;female;1.56;55;badminton;0;0;0
265984930;Akani Simbine;RSA;male;1.76;74;athletics;0;0;0
285797294;Akashdeep Singh;IND;male;1.78;70;hockey;0;0;0
769580282;Akeem Haynes;CAN;male;1.68;71;athletics;0;0;1
194243947;Akela Jones;BAR;female;1.86;77;athletics;0;0;0
58705332;Aki Mitsuhashi;JPN;female;1.66;59;hockey;0;0;0
921789441;Aki Yazawa;JPN;female;1.56;50;canoe;0;0;0
327133724;Akihiko Nakamura;JPN;male;1.8;73;athletics;0;0;0
346354435;Akiko Sato;JPN;female;1.62;58;shooting;0;0;0
850163240;Akira Ioane;NZL;male;1.94;113;rugby sevens;0;0;0
816408353;Akira Yanase;JPN;male;1.91;95;aquatics;0;0;0
959689266;Akossiwa Claire Ayivon;TOG;female;;;rowing;0;0;0
152032519;Akua Obeng-Akrofi;GHA;female;;;athletics;0;0;0
593452734;Alaa Ali;IRQ;male;1.78;68;football;0;0;0
747058984;Alaaeldin Abouelkassem;EGY;male;1.88;87;fencing;0;0;0
249203070;Alade Aminu;NGR;male;2.1;102;basketball;0;0;0
158571661;Alain Sign;GBR;male;1.81;84;sailing;0;0;0
471888446;Alan Campbell;GBR;male;1.91;96;rowing;0;0;0
275659106;Alan Hatherly;RSA;male;1.78;62;cycling;0;0;0
488926827;Alan Sinclair;GBR;male;1.92;96;rowing;0;0;0
386179468;Alan Sothern;IRL;male;1.78;76;hockey;0;0;0
68100583;Alana Barber;NZL;female;1.63;52;athletics;0;0;0
662496867;Alana Boyd;AUS;female;1.71;59;athletics;0;0;0
812220330;Alanna Kennedy;AUS;female;1.76;63;football;0;0;0
923852920;Alastair Brogdon;GBR;male;1.83;76;hockey;0;0;0
533114803;Alba Torrens;ESP;female;1.91;68;basketball;0;1;0
551413911;Albachir Mouctar;NIG;male;1.78;76;aquatics;0;0;0
92096398;Albane Valenzuela;SUI;female;1.74;58;golf;0;0;0
930879907;Albert Espanol Lifante;ESP;male;1.89;86;aquatics;0;0;0
596935178;Albert Gaun;RUS;male;1.85;80;taekwondo;0;0;0
70764024;Albert Hermoso Farras;ESP;male;1.68;65;equestrian;0;0;0
172435291;Albert Kibichii Rop;BRN;male;1.77;63;athletics;0;0;0
389597142;Albert Puig Garrich;ESP;male;1.84;78;aquatics;0;0;0
184326688;Albert Ramon Ramirez;VEN;male;1.82;;boxing;0;0;0
100190722;Albert Ramos-Vinolas;ESP;male;1.88;80;tennis;0;0;0
